use cuda: True
Namespace(name='acm', k=None, lr=0.001, n_clusters=3, n_z=10, pretrain_path='data/acm.pkl', cuda=True, n_input=1870)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1870, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1870, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
50Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
50Z :acc 0.8836 , nmi 0.6385 , ari 0.6899 , f1 0.8835
50P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
51Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
51Z :acc 0.8883 , nmi 0.6418 , ari 0.6994 , f1 0.8881
51P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
52Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
52Z :acc 0.8817 , nmi 0.6354 , ari 0.6857 , f1 0.8812
52P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
53Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
53Z :acc 0.8843 , nmi 0.6369 , ari 0.6909 , f1 0.8839
53P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
54Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
54Z :acc 0.8879 , nmi 0.6415 , ari 0.6988 , f1 0.8878
54P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
55Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
55Z :acc 0.8817 , nmi 0.6348 , ari 0.6855 , f1 0.8812
55P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
56Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
